NNC(=O)c1ccncc1,0.01
Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,-0.17
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,-0.48
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,-0.63
O=[N+]([O-])c1ccc(O)cc1,-0.74
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.97
CC(=O)Nc1ccc(O)cc1,-1.03
NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.23
c1ccc2ncccc2c1,-1.3
CCN(CC)CCOC(=O)c1ccc(N)cc1,-1.4
c1ccc2cnccc2c1,-1.45
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,-1.52
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.64
NC(=O)c1ccccc1O,-1.76
O=C(O)c1ccccc1O,-1.82
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,-1.89
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-1.91
Nc1ccccc1[N+](=O)[O-],-1.96
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-2.06
O=c1ccc2ccccc2[nH]1,-2.14
O=[N+]([O-])c1ccc(C=NO)o1,-2.19
Oc1cccc2ccccc12,-2.22
CCOc1ccc(NC(C)=O)cc1,-2.37
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,-2.41
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,-2.43
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,-2.62
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-2.62
CN(C)CCN(Cc1ccccc1)c1ccccn1,-2.64
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,-2.74
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-2.82
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,-2.85
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,-2.96
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,-3.18
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,-3.37
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,-3.37
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,-3.39
CN(C)CCC=C1c2ccccc2COc2ccccc21,-3.4
